

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
090.934  000.235  000.235: require('cmp.utils.autocmd')
090.944  000.782  000.547: require('cmp.view.custom_entries_view')
091.379  000.433  000.433: require('cmp.view.wildmenu_entries_view')
091.719  000.336  000.336: require('cmp.view.native_entries_view')
091.996  000.274  000.274: require('cmp.view.ghost_text_view')
092.012  003.114  000.364: require('cmp.view')
092.156  009.385  000.545: require('cmp.core')
092.400  000.139  000.139: require('cmp.config.sources')
092.538  000.135  000.135: require('cmp.config.window')
092.577  010.118  000.459: require('cmp')
093.600  000.050  000.050: require('luasnip.session')
093.942  000.337  000.337: require('luasnip.util.util')
093.987  000.043  000.043: require('luasnip.util.types')
094.167  000.084  000.084: require('luasnip.util.ext_opts')
094.170  000.181  000.097: require('luasnip.nodes.util')
094.208  000.037  000.037: require('luasnip.util.events')
094.219  000.834  000.186: require('luasnip.nodes.node')
094.449  000.059  000.059: require('luasnip.util.extend_decorator')
094.454  000.234  000.175: require('luasnip.nodes.insertNode')
094.545  000.089  000.089: require('luasnip.nodes.textNode')
094.647  000.099  000.099: require('luasnip.util.mark')
095.102  000.351  000.351: require('luasnip.util._builtin_vars')
095.171  000.522  000.171: require('luasnip.util.environ')
095.302  000.127  000.127: require('luasnip.util.pattern_tokenizer')
095.385  000.080  000.080: require('luasnip.util.dict')
095.537  000.149  000.149: require('luasnip.session.snippet_collection')
095.571  002.664  000.529: require('luasnip.nodes.snippet')
095.710  000.044  000.044: require('luasnip.loaders._caches')
095.837  000.125  000.125: require('luasnip.util.path')
095.863  000.290  000.121: require('luasnip.loaders')
095.992  000.109  000.109: require('luasnip.nodes.functionNode')
096.185  000.191  000.191: require('luasnip.nodes.choiceNode')
096.367  000.180  000.180: require('luasnip.nodes.dynamicNode')
096.520  000.151  000.151: require('luasnip.nodes.restoreNode')
096.911  000.094  000.094: require('luasnip.util.parser.neovim_ast')
097.737  000.082  000.082: require('luasnip.util.directed_graph')
097.743  001.128  000.953: require('luasnip.util.parser.ast_utils')
097.956  000.052  000.052: require('luasnip.util.functions')
097.961  000.217  000.165: require('luasnip.util.parser.ast_parser')
098.192  000.229  000.229: require('luasnip.util.parser.neovim_parser')
098.284  000.088  000.088: require('luasnip.util.str')
098.293  001.770  000.108: require('luasnip.util.parser')
098.544  000.079  000.079: require('luasnip.extras.filetype_functions')
098.611  000.050  000.050: require('luasnip.nodes.absolute_indexer')
098.747  000.134  000.134: require('luasnip.extras')
098.913  000.163  000.163: require('luasnip.extras.fmt')
099.052  000.063  000.063: require('luasnip.extras.conditions')
099.093  000.040  000.040: require('luasnip.extras.conditions.show')
099.155  000.203  000.100: require('luasnip.extras.conditions.expand')
099.156  000.241  000.037: require('luasnip.extras.expand_conditions')
099.242  000.084  000.084: require('luasnip.extras.postfix')
099.418  001.123  000.372: require('luasnip.config')
099.422  006.843  000.365: require('luasnip')
099.652  000.228  000.228: require('lspkind')
099.986  000.145  000.145: require('luasnip.loaders.util')
100.063  000.075  000.075: require('luasnip.nodes.snippetProxy')
100.070  000.415  000.196: require('luasnip/loaders/from_vscode')
108.941  026.584  008.979: require('oasido.cmp')
109.600  000.141  000.141: require('nvim-autopairs._log')
109.817  000.215  000.215: require('nvim-autopairs.utils')
110.441  000.255  000.255: require('nvim-autopairs.conds')
110.446  000.463  000.208: require('nvim-autopairs.rule')
110.448  000.628  000.165: require('nvim-autopairs.rules.basic')
110.453  001.440  000.456: require('nvim-autopairs')
110.707  000.215  000.215: require('nvim-autopairs.fastwrap')
111.161  000.200  000.200: require('nvim-autopairs.ts-conds')
111.164  000.344  000.144: require('nvim-autopairs.rules.ts_basic')
111.553  000.369  000.369: require('vim.treesitter.highlighter')
112.154  000.155  000.155: require('nvim-autopairs.completion.handlers')
112.159  000.338  000.183: require('nvim-autopairs.completion.cmp')
112.173  003.227  000.521: require('oasido.autopairs')
120.652  008.453  008.453: require('impatient')
120.745  000.084  000.084: require('impatient.profile')
120.753  008.579  000.042: require('oasido.impatient')
120.921  000.118  000.118: require('alpha')
121.001  000.076  000.076: require('alpha.themes.dashboard')
121.042  000.285  000.091: require('oasido.alpha')
121.239  000.127  000.127: require('Comment')
121.497  000.093  000.093: require('Comment.ft')
121.504  000.260  000.167: require('Comment.utils')
121.620  000.112  000.112: require('ts_context_commentstring.utils')
121.704  000.079  000.079: require('ts_context_commentstring.internal')
121.825  000.052  000.052: require('Comment.config')
121.883  000.054  000.054: require('Comment.opfunc')
121.936  000.050  000.050: require('Comment.extra')
121.941  000.233  000.078: require('Comment.api')
122.197  001.151  000.339: require('oasido.comment')
122.405  000.099  000.099: require('hop')
122.553  000.063  000.063: require('hop.perm')
122.638  000.026  000.026: require('hop.priority')
122.641  000.084  000.058: require('hop.hint')
122.642  000.233  000.087: require('hop.defaults')
122.671  000.026  000.026: require('hop.highlight')
122.697  000.495  000.136: require('oasido.hop')
122.815  000.037  000.037: require('indent_blankline/utils')
